"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,400,0.680964946746826,72348109
2,401,0.608958959579468,71841283
3,402,0.610291957855225,71915343
4,403,0.614177942276001,72090112
5,404,0.608182907104492,71992460
6,405,0.639407157897949,72002136
7,406,0.600805997848511,72046915
8,407,0.610223054885864,72182391
9,408,0.603904008865356,71929830
10,409,0.607390880584717,72116165
11,410,0.609369039535522,72402029
12,411,0.615070819854736,72334434
13,412,0.606243133544922,72792444
14,413,0.62221097946167,72535082
15,414,0.707288980484009,72311786
16,415,0.609786033630371,72669645
17,416,0.605468988418579,72202678
18,417,0.61001181602478,72548342
19,418,0.60663890838623,72678673
20,419,0.609530210494995,72623410
21,420,0.607173919677734,72453445
22,421,0.61750602722168,73521537
23,422,0.609718799591064,72893133
24,423,0.619765043258667,73143782
25,424,0.615447998046875,73108398
26,425,0.628472089767456,73306801
27,426,0.626085996627808,73811236
28,427,0.619571924209595,73869091
29,428,0.63316011428833,73582928
30,429,0.618691921234131,73409441
31,430,0.610306978225708,73359475
32,431,0.610273838043213,73649657
33,432,0.614732027053833,73391945
34,433,0.619361877441406,73659557
35,434,0.615900993347168,73566972
36,435,0.616959095001221,73616975
37,436,0.603272914886475,73089514
38,437,0.618161201477051,73253266
39,438,0.606913089752197,73539519
40,439,0.613839149475098,73642585
41,440,0.614065885543823,73646175
42,441,0.614362955093384,73854349
43,442,0.624274015426636,74045076
44,443,0.634016036987305,73807725
45,444,0.617753982543945,74128207
46,445,0.60502290725708,73506028
47,446,0.645798921585083,73584791
48,447,0.611833810806274,73560461
49,448,0.60747504234314,73497198
50,449,0.615082025527954,73742838
51,450,0.613962888717651,73777453
52,451,0.617954015731812,73919082
53,452,0.615384101867676,73782870
54,453,0.613035917282104,74109039
55,454,0.616235017776489,74229905
56,455,0.617452144622803,74329391
57,456,0.719679832458496,74155638
58,457,0.62185001373291,74600818
59,458,0.614752054214478,74369034
60,459,0.62086296081543,74178082
61,460,0.61870002746582,74132530
62,461,0.626588106155396,74522455
63,462,0.622393131256104,74688616
64,463,0.623198986053467,74684523
65,464,0.622663974761963,75035953
66,465,0.624444007873535,75289444
67,466,0.621372938156128,75479146
68,467,0.623628854751587,75512685
69,468,0.625882863998413,75445315
70,469,0.619813919067383,75190309
71,470,0.633939981460571,75026193
72,471,0.621813058853149,74849829
73,472,0.648804903030396,75108225
74,473,0.823963165283203,75080120
75,474,0.71301794052124,75131135
76,475,0.735520839691162,75402752
77,476,0.691465854644775,75333062
78,477,0.772791862487793,75793965
79,478,0.71216607093811,75369858
80,479,0.923703193664551,75560499
81,480,0.771254062652588,75428418
82,481,0.837759971618652,75777765
83,482,0.897851943969727,75752614
84,483,0.789160966873169,75312241
85,484,0.831679105758667,75879746
86,485,0.853094816207886,75429072
87,486,0.714580059051514,75671192
88,487,0.749213933944702,75984603
89,488,0.729655981063843,75772291
90,489,0.720614910125732,75786228
91,490,0.71430516242981,75851357
92,491,0.711210012435913,76076851
93,492,0.703296899795532,76523652
94,493,0.707107067108154,76305244
95,494,0.699750900268555,76948358
96,495,0.740792036056519,77061303
97,496,0.69414210319519,76499022
98,497,0.708726167678833,76952083
99,498,0.82951283454895,77209816
100,499,0.708316087722778,77160824
101,500,0.700637817382812,77165659
102,501,0.722877025604248,77411477
103,502,0.724499940872192,77410890
