"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,450,0.674388885498047,73881311
2,451,0.657557964324951,74022586
3,452,0.621043920516968,73886796
4,453,0.612167119979858,74211677
5,454,0.620699167251587,74333551
6,455,0.623157024383545,74432228
7,456,0.619255065917969,74258259
8,457,0.6336829662323,74703742
9,458,0.620918989181519,74471503
10,459,0.62031888961792,74280719
11,460,0.60830807685852,74236387
12,461,0.621891021728516,74625103
13,462,0.727724075317383,74792512
14,463,0.623641967773438,74787854
15,464,0.625220060348511,75138699
16,465,0.628243923187256,75391795
17,466,0.620270013809204,75581889
18,467,0.621649026870728,75615363
19,468,0.618945837020874,75548347
20,469,0.622306108474731,75294044
21,470,0.623047113418579,75128993
22,471,0.62401008605957,74953394
23,472,0.62410306930542,75210977
24,473,0.625058889389038,75182826
25,474,0.615422010421753,75234857
26,475,0.620096921920776,75506184
27,476,0.660213947296143,75436071
28,477,0.622779130935669,75897144
29,478,0.626790046691895,75473303
30,479,0.629784107208252,75663282
31,480,0.626967906951904,75531213
32,481,0.636701107025146,75880748
33,482,0.62426495552063,75855333
34,483,0.617892980575562,75415199
35,484,0.620316982269287,75982485
36,485,0.623188972473145,75532027
37,486,0.619124174118042,75773806
38,487,0.632747888565063,76087988
39,488,0.62818717956543,75875113
40,489,0.629960060119629,75890243
41,490,0.64181399345398,75955107
42,491,0.62460994720459,76179482
43,492,0.634551048278809,76626927
44,493,0.637722015380859,76408053
45,494,0.63128399848938,77051507
46,495,0.648113965988159,77164342
47,496,0.626313924789429,76601890
48,497,0.639743804931641,77054861
49,498,0.63190221786499,77312453
50,499,0.646384954452515,77263927
51,500,0.632430076599121,77268508
52,501,0.657906770706177,77410116
53,502,0.655066013336182,77412696
