"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,450,0.799047946929932,73882636
2,451,0.667860984802246,74024359
3,452,0.620378971099854,73888280
4,453,0.617105007171631,74214091
5,454,0.613176107406616,74335313
6,455,0.629072189331055,74434490
7,456,0.619972944259644,74260623
8,457,0.614756107330322,74706017
9,458,0.611021041870117,74473878
10,459,0.610976934432983,74283089
11,460,0.608180046081543,74237537
12,461,0.612444162368774,74627384
13,462,0.614503145217896,74794273
14,463,0.623639822006226,74789838
15,464,0.639634132385254,75140959
16,465,0.629098892211914,75394180
17,466,0.62906813621521,75584156
18,467,0.621824979782104,75617539
19,468,0.618077039718628,75550059
20,469,0.627212047576904,75295493
21,470,0.615067958831787,75131243
22,471,0.623891115188599,74954712
23,472,0.615400075912476,75213218
24,473,0.623868942260742,75185070
25,474,0.626416921615601,75236143
26,475,0.628777027130127,75507802
27,476,0.638749837875366,75438328
28,477,0.626927852630615,75899397
29,478,0.636281967163086,75474833
30,479,0.621747970581055,75665633
31,480,0.621288061141968,75533450
32,481,0.640286922454834,75883055
33,482,0.622470140457153,75857631
34,483,0.632469892501831,75417444
35,484,0.622079133987427,75984825
36,485,0.619091033935547,75534273
37,486,0.628957986831665,75776044
38,487,0.624069929122925,76090069
39,488,0.627632141113281,75877362
40,489,0.630480051040649,75892034
41,490,0.630881071090698,75957055
42,491,0.622706890106201,76181722
43,492,0.726438999176025,76628898
44,493,0.633594989776611,76410385
45,494,0.638246059417725,77052894
46,495,0.638519048690796,77165911
47,496,0.625231027603149,76604118
48,497,0.629945993423462,77057128
49,498,0.640102863311768,77314772
50,499,0.637989044189453,77265569
51,500,0.658345937728882,77270745
52,501,0.668734788894653,77412508
53,502,0.709707021713257,77412679
