"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,450,0.737354040145874,73882660
2,451,0.816846132278442,74024338
3,452,0.626553058624268,73888300
4,453,0.621320009231567,74214110
5,454,0.622781991958618,74335334
6,455,0.623492956161499,74434510
7,456,0.616163969039917,74260645
8,457,0.626291990280151,74706040
9,458,0.612196922302246,74473900
10,459,0.615701913833618,74283111
11,460,0.610042095184326,74237558
12,461,0.613626956939697,74627408
13,462,0.621322870254517,74794286
14,463,0.615293025970459,74789860
15,464,0.616487979888916,75140981
16,465,0.631217002868652,75394200
17,466,0.624486923217773,75584180
18,467,0.629894971847534,75617560
19,468,0.617825031280518,75550082
20,469,0.622997045516968,75295517
21,470,0.614447116851807,75131267
22,471,0.625422954559326,74954734
23,472,0.61562991142273,75213240
24,473,0.617069005966187,75185092
25,474,0.619449853897095,75236165
26,475,0.628676891326904,75507825
27,476,0.62650203704834,75438350
28,477,0.624557018280029,75899347
29,478,0.626451015472412,75474854
30,479,0.73826789855957,75665657
31,480,0.626814842224121,75533472
32,481,0.623296022415161,75883070
33,482,0.629651069641113,75857647
34,483,0.63188886642456,75417465
35,484,0.630664110183716,75984847
36,485,0.622057914733887,75534292
37,486,0.626199007034302,75776064
38,487,0.628823041915894,76090093
39,488,0.619205951690674,75877386
40,489,0.621690034866333,75892056
41,490,0.630213975906372,75957074
42,491,0.624900102615356,76181744
43,492,0.626816987991333,76628918
44,493,0.647006034851074,76410401
45,494,0.636918067932129,77052915
46,495,0.646963834762573,77165932
47,496,0.634445190429688,76604141
48,497,0.638239145278931,77057148
49,498,0.631768941879272,77314795
50,499,0.647555828094482,77265593
51,500,0.631650924682617,77270761
52,501,0.65936017036438,77412532
53,502,0.655611991882324,77412666
