"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,300,0.964635848999023,65411509
2,301,1.01339602470398,65730975
3,302,1.00235509872437,65367840
4,303,1.04195785522461,65419684
5,304,0.948382139205933,65729022
6,305,0.952639102935791,65674179
7,306,0.999872922897339,65808497
8,307,0.957414865493774,65970022
9,308,0.949882984161377,66157152
10,309,0.972577095031738,66431608
11,310,0.961359977722168,66685111
12,311,1.80916500091553,66614398
13,312,1.33979415893555,66859132
14,313,1.09569907188416,66698096
15,314,1.025475025177,66769404
16,315,1.08180212974548,66913089
17,316,1.01086378097534,67130210
18,317,1.02280902862549,67043401
19,318,1.0399329662323,67119853
20,319,1.13758492469788,67108872
21,320,0.99915599822998,67245336
22,321,1.00446915626526,67464976
23,322,1.08220314979553,67368382
24,323,1.0256450176239,67295799
25,324,1.03087902069092,67305972
26,325,1.03180408477783,67739135
27,326,1.01281881332397,67564576
28,327,1.09015893936157,67528902
29,328,1.01631212234497,67979232
30,329,1.1840078830719,68067021
31,330,1.84126901626587,67529942
32,331,1.12090587615967,68030934
33,332,1.08461713790894,67701664
34,333,1.70014119148254,67944646
35,334,1.2582049369812,68417447
36,335,1.05897617340088,68434904
37,336,1.05554699897766,68100902
38,337,1.06414389610291,68615722
39,338,1.01596999168396,68172151
40,339,1.55838799476624,68149465
41,340,1.51397800445557,68531027
42,341,1.0363290309906,68731017
43,342,0.992511034011841,68455278
44,343,0.988512992858887,68694246
45,344,0.96777606010437,68704355
46,345,0.979987144470215,68624483
47,346,1.00551891326904,68597157
48,347,0.980790138244629,68632158
49,348,1.10915780067444,69328326
50,349,1.16637301445007,68767600
51,350,1.02051687240601,68668513
52,351,1.02141690254211,69277086
53,352,1.02985215187073,68666573
54,353,1.08840799331665,69204848
55,354,1.04368090629578,69283205
56,355,0.995276927947998,69268750
57,356,1.05803298950195,70079469
58,357,1.0483500957489,69327114
59,358,1.16014790534973,69220809
60,359,1.12189102172852,69161742
61,360,1.04497694969177,69327645
62,361,1.16655802726746,69549537
63,362,0.996800899505615,69447419
64,363,1.04936695098877,69516104
65,364,1.02235007286072,69723753
66,365,1.03797698020935,69647833
67,366,1.46920800209045,70508493
68,367,1.09732913970947,70284624
69,368,1.08387804031372,69789887
70,369,1.03577995300293,69969292
71,370,1.08402109146118,70766755
72,371,1.05494785308838,70102084
73,372,1.0420241355896,70636327
74,373,1.03639006614685,70391725
75,374,0.997233152389526,70668105
76,375,1.00992894172668,70159507
77,376,0.985224008560181,70152133
78,377,1.01217603683472,70273689
79,378,1.01703000068665,70205384
80,379,1.02217316627502,70309911
81,380,1.13294100761414,70796982
82,381,1.04225087165833,70993523
83,382,1.11981105804443,70917169
84,383,1.00071096420288,70542692
85,384,1.0004391670227,71062931
86,385,1.03054904937744,71005781
87,386,1.03727889060974,70551905
88,387,1.0552670955658,70683656
89,388,1.02094197273254,70666729
90,389,1.03723883628845,70613328
91,390,1.01491904258728,71098860
92,391,1.01167798042297,71143568
93,392,1.00908899307251,71212418
94,393,0.993157863616943,71032911
95,394,0.986248016357422,71082587
96,395,0.993906021118164,71489925
97,396,1.02908492088318,71508575
98,397,1.00000309944153,71782543
99,398,0.992959022521973,71801927
100,399,0.996480941772461,71784188
101,400,1.01784706115723,72726429
102,401,0.993077993392944,71929994
103,402,0.998408079147339,72237932
104,403,1.12168717384338,72237761
105,404,1.00414800643921,72099850
106,405,1.00998210906982,72444052
107,406,0.998740196228027,72075994
108,407,1.01449108123779,72269981
109,408,0.99523401260376,71919669
110,409,1.00743293762207,71967294
111,410,1.01856279373169,72212567
112,411,1.01265811920166,72303464
113,412,1.00139999389648,72641789
114,413,1.01001286506653,72343362
115,414,1.01146507263184,72258436
116,415,1.01424694061279,72636770
117,416,1.00830221176147,72168812
118,417,1.02674412727356,72415482
119,418,1.01280379295349,72605909
120,419,1.00763821601868,72489419
121,420,0.995844125747681,72340362
122,421,1.07679605484009,73327144
123,422,1.0022509098053,72698319
124,423,1.0181679725647,72907456
125,424,1.21618509292603,72912720
126,425,1.37941789627075,73068634
127,426,1.24925804138184,73905918
128,427,1.19860100746155,73692098
129,428,1.10086393356323,73300811
130,429,1.28519296646118,73146563
131,430,1.06829214096069,73134643
132,431,1.14768290519714,73673564
133,432,1.0771050453186,73310175
134,433,1.0520498752594,73431974
135,434,1.05798196792603,73588633
136,435,1.05779981613159,73617465
137,436,1.10949993133545,73110803
138,437,1.14116501808167,73148460
139,438,1.14401698112488,73411911
140,439,1.07828187942505,73494581
141,440,1.11639499664307,73475791
142,441,1.04522895812988,73683217
143,442,1.02960205078125,73872845
144,443,1.10695791244507,73485728
145,444,1.08311009407043,73933240
146,445,1.15162706375122,73482288
147,446,1.04449987411499,73625084
148,447,1.18268394470215,73600785
149,448,1.05449104309082,73537298
150,449,1.02223014831543,73631361
151,450,1.08503293991089,73773992
152,451,1.04002809524536,73871189
153,452,1.0379741191864,73757316
154,453,1.08005499839783,74061013
155,454,1.06016993522644,74732009
156,455,1.05817484855652,74257453
157,456,1.1292519569397,74083249
158,457,1.0798671245575,74638366
159,458,1.07636904716492,74472507
160,459,1.08927202224731,74304302
161,460,1.03759098052979,74126195
162,461,1.0701961517334,74626221
163,462,1.06209897994995,74792837
164,463,1.03039503097534,74475829
165,464,1.02786493301392,74983469
166,465,1.14592385292053,75212834
167,466,1.15402221679688,75560909
168,467,1.07784295082092,75662994
169,468,1.04606890678406,75548991
170,469,1.04909300804138,75840003
171,470,1.04563999176025,75265447
172,471,1.05198097229004,74952908
173,472,1.05594301223755,75074674
174,473,1.09173703193665,75183718
175,474,1.08812808990479,75144075
176,475,1.07596182823181,75415843
177,476,1.21082592010498,75345285
178,477,1.56300401687622,75805253
179,478,1.17811489105225,75404981
180,479,1.09292984008789,75548721
181,480,1.30960392951965,75554282
182,481,1.13998103141785,75812029
183,482,1.17226696014404,75739214
184,483,1.14811897277832,75159517
185,484,1.10016107559204,75865899
186,485,1.09549903869629,76026576
187,486,1.06907987594604,75656910
188,487,1.1676390171051,75993591
189,488,1.05922794342041,76466594
190,489,1.12430500984192,75889284
191,490,1.10623097419739,75811996
192,491,1.0610249042511,76155265
193,492,1.08346390724182,77222737
194,493,1.05962491035461,77006201
195,494,1.06391096115112,77050531
196,495,1.08355903625488,77068843
197,496,1.06943202018738,76600845
198,497,1.1540219783783,77078265
199,498,1.1854739189148,77072555
200,499,1.14542412757874,77118707
201,500,1.06912112236023,77027044
202,501,1.12777209281921,77412432
203,502,1.08511209487915,77411460
