"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,450,1.11796712875366,73773779
2,451,1.08184790611267,73870868
3,452,1.08091592788696,73756519
4,453,1.27474904060364,74059576
5,454,1.20668411254883,74731144
6,455,1.05550813674927,74256806
7,456,1.04537892341614,74082943
8,457,1.05951404571533,74638027
9,458,1.07287693023682,74472109
10,459,1.08864593505859,74303865
11,460,1.10368919372559,74125824
12,461,1.16024589538574,74624729
13,462,1.07222414016724,74791597
14,463,1.06582498550415,74474250
15,464,1.1199939250946,74982288
16,465,1.06088209152222,75212451
17,466,1.26860690116882,75559802
18,467,1.1518030166626,75661444
19,468,1.37338590621948,75548508
20,469,1.23242497444153,75839605
21,470,1.07587003707886,75263804
22,471,1.09134387969971,74952392
23,472,1.07066917419434,75074163
24,473,1.08633303642273,75182612
25,474,1.10492396354675,75142777
26,475,1.07608509063721,75414284
27,476,1.08098602294922,75344141
28,477,1.45859909057617,75804364
29,478,1.14711284637451,75403901
30,479,1.07173490524292,75548131
31,480,1.05670404434204,75553660
32,481,1.12161803245544,75810297
33,482,1.40517401695251,75738678
34,483,1.15005683898926,75158368
35,484,1.37854599952698,75865337
36,485,1.08695483207703,76025894
37,486,1.06522989273071,75655148
38,487,1.08265709877014,75992646
39,488,1.09961009025574,76465443
40,489,1.18842482566833,75888127
41,490,1.48610806465149,75811203
42,491,1.25733518600464,76153989
43,492,1.22890305519104,77222065
44,493,1.17406296730042,77004442
45,494,1.24763989448547,77049843
46,495,1.12272500991821,77067029
47,496,1.37351298332214,76599534
48,497,1.1860830783844,77077302
49,498,1.44832396507263,77042551
50,499,1.27539014816284,77117880
51,500,1.19922590255737,76997723
52,501,1.25893092155457,77412491
53,502,1.2747209072113,77412000
