"Forecast_Step","Window_Size","Time_Sec","Peak_RAM_MB"
1,450,1.6482458114624,73746208
2,451,1.42265200614929,73871131
3,452,1.27346086502075,73756972
4,453,1.30501389503479,74060119
5,454,1.10917806625366,74731533
6,455,1.0619649887085,74257159
7,456,1.05728697776794,74083448
8,457,1.17109894752502,74638557
9,458,1.3075168132782,74472372
10,459,1.07394790649414,74304385
11,460,1.06420493125916,74126344
12,461,1.33688998222351,74625273
13,462,1.17623496055603,74763742
14,463,1.1584689617157,74474793
15,464,1.13445091247559,74982803
16,465,1.05046892166138,75212983
17,466,1.06441211700439,75559797
18,467,1.05910897254944,75662000
19,468,1.05028009414673,75548962
20,469,1.05656099319458,75840115
21,470,1.04814195632935,75264342
22,471,1.18434309959412,74952847
23,472,1.05693078041077,75074677
24,473,1.05454397201538,75182755
25,474,1.05531907081604,75143290
26,475,1.1194441318512,75414787
27,476,1.05119109153748,75344106
28,477,1.35227799415588,75804723
29,478,1.17329001426697,75404424
30,479,1.16974782943726,75548645
31,480,1.19865202903748,75525207
32,481,1.10344815254211,75810838
33,482,1.13712811470032,75739198
34,483,1.0478138923645,75158300
35,484,1.0891969203949,75865840
36,485,1.43587398529053,76026419
37,486,1.38461399078369,75655683
38,487,1.13293194770813,75993005
39,488,1.10946297645569,76465966
40,489,1.08775997161865,75888662
41,490,1.0862979888916,75811736
42,491,1.07488894462585,76154501
43,492,1.21890306472778,77222573
44,493,1.17528295516968,77004986
45,494,1.23445987701416,77050361
46,495,1.3545868396759,77067587
47,496,1.16589498519897,76599482
48,497,1.30124592781067,77048498
49,498,1.07825684547424,77071876
50,499,1.17097306251526,77118148
51,500,1.23519110679626,76997751
52,501,1.11763191223145,77412564
53,502,1.11152005195618,77412579
