"Algeria","Iran","Libya","Nigeria","Saudi.Arabia","UAE"
-6.35297387270735,-7.08003026025209,-6.52221197138199,-7.01340904124233,-7.44275632072615,-7.1313367069537
-4.00245934638057,-4.60190165376147,-4.43281999324372,-4.31667536744066,-4.47328830830787,-4.41384373555027
-5.37239866940677,-5.03496107704944,-5.27772900092103,-5.20892539647464,-4.94883648666927,-4.98387148572997
-3.77352554900792,-3.11931150434418,-3.64156466823788,-3.6026110401254,-4.16179735819902,-3.57947011659181
-4.81206243216422,-4.83210402722784,-4.87824235960268,-4.39144545571401,-4.73415506250523,-5.59247177617616
-10.4350585670316,-8.16068246856406,-10.7892376871,-8.94424026152642,-6.69218075909921,-6.56232418457427
-3.00314032528073,-3.04190400003532,-3.37348630550563,-3.00629369267643,-2.8628929846885,-2.98514546415165
-3.71421192289923,-3.09603045875174,-4.04116229189733,-2.79162840481707,-3.0841321987076,-2.99658898939499
-1.71543979953189,-1.90914106840544,-1.70484203648382,-3.46087707064255,-1.81423741175166,-1.84307578088421
-1.60762838061642,-3.04237275456425,-4.62355236498268,-2.31949585977084,-2.31928076702585,-1.9870166113578
-3.15287874115397,-3.37032214815582,-2.9905462906781,-2.97995318194437,-2.56298651605962,-5.03817612405351
-6.04391121950088,-6.21377393800002,-5.92528807671454,-6.78722627297238,-5.33088731147762,-5.49418142162243
-11.0993436122337,-13.9604608367424,-9.86847959741183,-10.294357879235,-10.2309171503317,-6.32254610185441
-4.9467335329239,-4.42138834525644,-5.34060024302356,-4.62429752418851,-3.87756811042037,-5.99951746879919
-6.34784037344797,-4.16984100783408,-5.0531293595921,-7.3696076870463,-4.60473499811432,-5.12639056810141
-4.10335800834495,-4.56832712886022,-4.4288285203243,-4.35036782475598,-5.36423379283746,-4.86186214380479
-3.48516627772625,-3.16643802665601,-4.29360760123278,-3.58462594588584,-3.5499652507919,-3.73647882726598
-6.29659295524102,-5.91448534283629,-5.75702314099603,-6.1538057064557,-5.74122665482933,-5.82307970452884
-4.24932350881771,-4.6452111278347,-4.21278794887745,-4.72793146950212,-4.69972900198074,-4.52888229990922
-5.40246510879946,-4.75999019265677,-4.98752684299907,-5.16257331690556,-5.51333843354048,-5.50469170381603
-4.85155548543891,-4.44027398663517,-4.33377262201585,-4.70620056008238,-5.09821631142568,-4.82868958585563
-5.17935397708207,-5.11714771933146,-5.82532375136876,-5.7899690821306,-5.82462586735414,-5.46106523738883
-6.57880732357614,-6.56819909967538,-6.7224906453466,-6.33684822436694,-6.0679445217294,-6.73783351075625
-6.72654088073203,-7.67796504539214,-6.75227097704009,-6.80233180473708,-5.99172082247557,-7.57493556665966
-6.39454919987567,-5.45475229834861,-6.20623860119774,-6.12500298552253,-5.92982690996244,-5.29264629126421
-4.60700664384914,-4.99141645660319,-4.81876070120359,-4.26501964776177,-5.30407801758492,-4.98208395740534
-4.86774610069672,-4.55802369058883,-4.87423013459924,-4.60464876369029,-4.14007031997764,-3.99747418326515
-3.6466790249026,-4.05062376025114,-3.57860377438465,-3.83651293858872,-3.84491475592738,-4.0519743876889
-8.89921066241322,-5.90420205119509,-7.50522356845314,-8.79909794029412,-6.84807572631695,-5.74577447679025
-7.02770439730402,-8.431446135219,-7.50849875382829,-8.29929931070761,-7.21680451708097,-7.58892477209378
-7.31375280374463,-6.3153682893029,-7.26271658325829,-7.29661010863106,-6.87868554232852,-6.60237527055096
-8.56785083793118,-9.47798145377538,-8.55466466266256,-8.39681151503205,-9.74979837834369,-8.27566233848733
-4.44125205157704,-4.18806787655386,-4.37626222508001,-4.94370192916833,-4.82455526203502,-4.60207684915501
-6.28119701761232,-5.53459210851338,-6.48298579504489,-6.05040916040754,-5.54692384919172,-6.00654212291027
-4.37179192855206,-4.61226548312239,-4.69341929929871,-4.5786745029002,-4.09966516989293,-4.75586300468618
-4.80497283277084,-4.65437680447013,-5.0528529567532,-4.98595328116235,-5.39408211871069,-5.733377257873
-3.74753688212182,-4.19308425236484,-4.23369875297575,-4.62268830696826,-3.99074806303523,-4.22543299249671
-4.03068470732565,-4.55699530965025,-3.68438094470006,-3.60610064915878,-3.77503429104047,-3.52250191613417
-3.72291765406876,-4.66240781742543,-4.54261380496341,-3.56219273307962,-4.2497922025713,-4.38731942353908
-4.0477557805386,-4.98205043623325,-3.98147585075348,-4.49726789645319,-4.10563842068228,-4.66232697745586
-8.49962687302019,-8.34868273616094,-8.2592348879421,-8.30411799404104,-9.68727888316642,-8.20213472030593
-7.50443041894896,-5.8999145602325,-6.26504131071987,-7.35614760453069,-7.11826667800074,-7.31004446999583
-5.00531058716966,-5.46052070887719,-4.46827623405979,-4.75007260543581,-4.84765427661402,-5.6146708428962
-5.56657479628469,-8.85489165017523,-6.9557889950012,-6.61561373411575,-7.80959730222456,-9.74364030721592
-7.32421516255593,-8.6886141572801,-6.37046858788226,-6.67489403401529,-8.13942928236586,-6.92664702775743
