"Algeria","Iran","Libya","Nigeria","Saudi.Arabia","UAE"
-6.46965380650443,-7.08210379508237,-6.3418368784753,-7.18732137587164,-7.44276447070413,-7.01727664578245
-4.50097114599853,-4.59718847165418,-4.36114787841373,-3.85773593579969,-4.32667813037607,-4.60413060916781
-5.18120463515217,-5.0333078783218,-5.47733810643754,-5.18956396635624,-4.95087652885782,-4.99351362561149
-3.37891779943889,-3.51445393728465,-3.72539069268628,-4.3370781167202,-3.56714809014486,-3.36919960383645
-5.01132459913864,-4.83523800573259,-4.68149528789793,-4.59796591787219,-5.72346269491928,-4.39944644892504
-10.1478255062712,-8.16012962473425,-10.7502094858555,-8.90685335133293,-6.7448931996251,-6.87588261524843
-2.73533322751315,-3.450990983741,-2.67550010803269,-3.0079289266179,-3.10398789609963,-3.31053074436919
-3.34148019385252,-3.09760729951381,-3.69123469129341,-3.10334450348541,-3.87570099951336,-2.61712020574659
-1.72308282591333,-1.90420269343094,-2.07215995649681,-3.46334776540773,-1.49830154170172,-1.78546926447167
-2.00605829191541,-1.41775434611612,-2.35696103922515,-2.29402226365808,-3.07265407702721,-4.74019628016898
-3.17576694977852,-3.36745300881354,-4.50152183315582,-2.48413384438298,-3.09139923530299,-3.45406740583152
-6.41281265657472,-6.21983407068467,-4.85643254628925,-6.79829982998775,-5.77664565336258,-5.71824646625727
-11.1911602318053,-14.5172724685362,-9.89135036186196,-9.19923129145409,-9.61114976677825,-7.42757325592529
-5.24126872072793,-4.16086178151215,-4.84201420597955,-4.89803162664174,-4.12009716838464,-5.95833791981289
-6.34901079406128,-4.08620111226825,-4.90791423884795,-6.01156560725276,-6.12638639762871,-5.18992661950722
-4.35640845289287,-4.5660402569985,-3.72989115891923,-5.33256991631557,-4.48253080883919,-5.20970244649196
-3.66822569771603,-3.42217071254324,-4.30705586644582,-3.52964544322513,-3.29846817950164,-3.59274628358229
-5.64051597668496,-6.59486164229549,-6.27061630202026,-6.13422177464604,-5.54319055123931,-5.51596613909811
-4.37128266868207,-4.6435409501826,-4.07038213842291,-4.29984514252198,-4.70652377941435,-4.96303968055336
-5.40174465020523,-5.09673644974202,-4.6986824199983,-4.96397490021396,-5.70176911883784,-5.46755018288875
-5.13697079465454,-4.00314164243681,-4.73148623508269,-4.69800404694114,-4.8017063837218,-4.85337712323019
-5.46181721721767,-5.29525859706025,-5.10276969058732,-5.47924977534379,-6.25993926897894,-5.61160806071582
-6.91433475324817,-6.56896181269748,-6.38491775561873,-5.99574815548022,-6.41026258319646,-6.7361262815074
-6.27914130771107,-7.39893473562646,-6.56514246058835,-7.09725677361754,-6.85714457883808,-7.3472046223497
-5.81808624069276,-5.66474066551496,-5.9253932951716,-6.55638368586995,-5.46889409296438,-5.95343694401123
-4.7823078815168,-4.58110480955372,-4.5378105015586,-4.6274929850673,-4.95437417985954,-5.41075719208945
-4.60285316018356,-4.9966034118551,-4.64062757293869,-4.17825199007217,-4.71113060249214,-3.95678688254311
-3.40974932998266,-3.91626529269359,-3.7324117481026,-3.66877608830687,-3.844114622371,-4.46114342545691
-8.55585925575,-6.2556784977987,-7.44689931775481,-8.80234607397209,-6.62840667198019,-6.01644554973369
-7.22149056636936,-8.78781903758122,-7.27908015713817,-7.82864311330885,-7.91606230707719,-7.00900069829001
-7.33445862655968,-6.34548350417676,-7.64998324192808,-6.76121244564329,-6.70435915538373,-6.84844986724928
-8.95599306505913,-9.68310413414699,-8.16324872337769,-8.12467650935346,-10.0705112951679,-8.0816406879905
-4.76124188372859,-4.8037074547971,-4.63923393610175,-4.56122394767385,-4.22782898511752,-4.42332106437447
-6.26994208247243,-5.39276617481157,-6.47570320701723,-6.15359338850382,-5.56393572722072,-6.03406467019159
-4.45214198405442,-4.20419219857493,-4.35885989138126,-4.61500298717933,-4.72163705904617,-4.72184328173323
-4.48887904458616,-5.43653324641374,-4.97024938217405,-4.86280359947316,-5.28459284929256,-5.61908538410456
-4.31222348513856,-4.6211967795057,-4.13254098946184,-4.18416250704163,-3.63873332849009,-4.16158075430421
-3.71115892112044,-3.92871029928664,-3.52046113615306,-3.21536187971269,-4.52026927991101,-4.30063554612043
-3.77424292042659,-4.26552630176249,-3.81036360901752,-4.3862295224301,-3.97559982204325,-4.9354583842147
-4.14197186329365,-4.23549195849622,-3.98099588254728,-4.26272858935805,-4.9541373151127,-4.7653843408868
-8.70101963373483,-9.28514889787798,-9.01657382809337,-7.47819004765228,-9.20106517029654,-7.68804493212876
-7.46554555507551,-6.67942021123929,-6.09829569469871,-6.62347846771845,-7.41089005197764,-7.13347650128343
-4.59294249214278,-5.21828744179972,-5.24045983285763,-4.69306427803631,-4.80459017234704,-5.58943584582594
-6.22312538067911,-9.71305022664512,-6.30060488792287,-6.12726359864345,-8.29792182703434,-8.90627409250172
-7.17244186162269,-8.99630887709234,-5.51988848679388,-7.09276029378558,-8.34052499306677,-7.02946957575448
-10.796487117648,-5.04574565402269,-8.68717147956277,-8.20894956839552,-5.82298811951038,-5.94469198917971
-6.08047056226175,-7.47371312994391,-6.6047956069365,-6.39271015379253,-6.5137932594673,-7.22071434097573
-6.79094276279801,-5.96718594100803,-6.72468905831439,-6.80687622709972,-5.448494225764,-5.7266441692596
-4.30344028233687,-5.12932884433342,-4.8113786100702,-4.45868644451262,-5.60330246619425,-5.06742895670454
-4.96178212462816,-5.72382950560835,-5.72996827998777,-5.80228156178645,-5.10767846386812,-5.12459690343325
-5.24510300509221,-5.61987325758765,-5.45365218738574,-5.81599897447799,-5.9412144386972,-5.78787032765725
-3.96948440580029,-4.06000894065743,-3.94180958861494,-4.08414674410852,-4.31314053725416,-4.03001001151613
-2.5713727302854,-2.94454902147518,-3.5612935612323,-3.51612190587932,-3.04968238592911,-3.55231898350955
-4.84321228982233,-5.30097758156532,-4.15984691785126,-4.38196753897407,-5.62959318348181,-6.11288083141027
-4.33577397264781,-4.01264196985812,-4.53852191925661,-3.32366177664789,-4.44279827340483,-4.22428949099092
-12.3048143109911,-8.22016690852446,-12.38229741747,-11.6397411026762,-8.4380560592139,-7.17650104268409
