"Algeria","Iran","Libya","Nigeria","Saudi.Arabia","UAE"
-5.24989569927193,-5.84085896366637,-5.44790173553368,-5.81613886018382,-6.04476036724583,-5.46639447819371
-3.833423241043,-3.80475919902156,-4.55770958223631,-4.21174886648676,-4.11836634546404,-3.86005748816539
-3.50012905686065,-3.03463066194527,-2.84679202589668,-2.60395131556367,-3.46574034183099,-3.76699360996827
-4.85542950327533,-5.32803022622171,-4.1555013288495,-5.38061588607644,-5.6030434820538,-5.14843731313274
-2.87636073199333,-3.97025642235868,-4.98684243318618,-4.07788869762523,-4.44689302467957,-4.48748259498161
-11.5528443584543,-8.15594959563856,-16.8926472894914,-10.4076079186523,-8.06816092909631,-8.47475262362321
-10.9969849769496,-6.53898312218066,-9.22228765665037,-9.48280376584212,-7.45545321056209,-7.23873307289446
-6.95760281228774,-8.07862815848047,-6.81521986351073,-6.82657710176765,-10.7627753820418,-7.96346195887308
-10.8337483008777,-11.3802605893899,-10.799788860401,-11.1050304726516,-13.1067416074032,-8.95299040560848
-5.28686757916952,-7.42820805445284,-5.76430530362831,-6.5415561731237,-6.74807721196851,-7.61655255851109
-6.90595627086177,-5.46771236586745,-6.86721704058697,-6.09822842841611,-6.08310791067689,-5.78739361187585
-4.19841437798748,-4.91060813301027,-4.13421504171408,-4.9329307306072,-4.44442407159491,-4.93391725404151
-5.28738782483568,-4.64288022149424,-5.15236399855078,-4.67378246962184,-4.7176340962325,-5.21146938970145
-11.7885535795435,-17.8205234806094,-10.5540180454957,-9.60989695421146,-8.50048667712962,-6.98860577733916
-9.24904081312204,-8.66564564999444,-9.56322112479967,-10.9609964476424,-11.4736216330972,-11.7968549273929
-5.57237108100201,-6.12791024102408,-5.46459194323716,-5.06699656023571,-6.28352172034521,-6.07160189981299
-4.98764765955872,-6.61771997972121,-6.5168721728275,-5.70714187996105,-6.51691333930109,-6.336463423476
-9.17671242913065,-7.26171373902753,-9.32576956093228,-9.57841151684843,-7.51638012966647,-7.41757924156323
-7.34522326359311,-7.3718271822395,-6.63242693433254,-7.35939866933103,-6.39751510096513,-9.15271455217641
-7.60428180104187,-9.02316663043393,-7.6697548268492,-8.3116015131463,-7.30562114757333,-9.22320529438331
-6.23047069859611,-6.98019700702918,-6.62209188460101,-8.0547476531482,-6.46667829088462,-7.00980484589059
-6.37697794566088,-6.31860146018309,-6.79681678953973,-6.58353436120821,-6.39999352971579,-6.80505170309375
-10.1216381360061,-13.277135593118,-10.2754056587042,-9.61888637617376,-9.62473307962456,-8.87744221047143
-7.63953248232389,-8.02232703061441,-8.52993045967694,-8.03151274862099,-7.95576222184652,-8.07614137270769
-8.59635625458177,-10.6394983686449,-11.7567853179379,-9.53793656143921,-13.2588279122049,-11.9521985013919
-7.34723814836496,-8.0640451019721,-6.50459521189869,-6.98851691483819,-9.21859827214901,-9.06621853588143
-7.23259671089163,-6.92246726923904,-6.67212687789346,-7.52276990842435,-5.88572985757149,-6.42407123959151
-5.35626561015062,-7.51644386485465,-5.00836705481811,-4.85743752041201,-7.52125145999764,-7.45859310748183
-5.21801242081168,-4.63878274419226,-4.70036746023928,-4.9042242439005,-5.43023593198878,-5.53026489588763
-5.91553047680117,-4.44073197038294,-5.70222978900406,-5.43641053078877,-4.83904293368994,-5.43996940348393
-3.52576582884309,-3.51770347542697,-3.36878318170779,-3.92101047326764,-3.36425821977621,-3.91246663607872
-4.01848692838761,-3.44320731153988,-4.13647603292353,-4.44784736561965,-4.15406339138706,-2.67947277487298
-2.55113385573551,-2.62687320240026,-2.07779668868251,-3.92250502988116,-2.19749906066782,-2.53653527025616
