"V1","V2","V3","V4","V5","V6"
-8.49367874582484,-7.27178486404065,-6.8839675719118,-7.51307247490882,-8.47166528816399,-7.89747985768561
-4.30612939578588,-5.86604030534513,-5.12229537502791,-5.34597081139762,-6.4602820241927,-5.21176970823032
-5.65907571224242,-6.62773032890731,-6.97573246294228,-6.67435156227798,-7.41274629885468,-7.82707080356807
-4.70066833228326,-6.25831058730493,-5.53971147498575,-5.59626812798302,-4.84345999993525,-6.14630762588486
-2.62321176742135,-4.31365008934981,-2.48080246719854,-3.77773079685841,-3.71459446962815,-3.80776118327783
-5.30204226382768,-4.53541917174151,-4.38213040475549,-3.9292145131567,-3.73388438324006,-4.61169229480766
-3.81596421742546,-4.75893533975722,-3.6728661598091,-2.71723336215789,-4.51823665956978,-3.97162051663848
-6.06086889717789,-4.95426784808637,-6.00613454393248,-5.4148259009811,-5.49783792910428,-5.589216834971
-6.95567770466046,-6.30278947590317,-6.98150057814302,-7.52419639213642,-7.59732885956669,-7.91277921924643
-4.8517990975153,-5.1540474731251,-4.91025770524086,-5.08641730149024,-5.39785478740797,-4.0735837094023
-4.43081461128151,-4.69305908228881,-4.75054233600778,-4.70641520861482,-3.49413703752855,-4.45437920579904
-5.9172063583118,-6.34272814227813,-5.81112811999367,-5.8011218843948,-7.326145518178,-7.32836946545602
-4.8427193602914,-5.67497187825718,-5.00439415004378,-4.04270124063259,-5.61468127407007,-5.53802449298353
-6.53099530082267,-4.8479735694242,-5.20780686880824,-5.61715207949059,-4.67843780296288,-5.01824216689028
-3.49800605878539,-3.50278185212266,-3.37886538199798,-2.65791175431483,-3.6187821461287,-3.96815645950711
-6.9170866307754,-7.44788920065079,-7.80911889979844,-6.61223362441086,-7.28331202874057,-9.96243560293235
-4.28962285307804,-4.32496082667987,-4.32280708607332,-4.22216022204676,-5.3589463026942,-4.11146256320412
-3.80425185162388,-3.04527416731553,-3.21181285619878,-3.00736585241854,-4.34732588029014,-3.33870143837602
-3.25683961967076,-5.04524235904339,-4.498425815256,-3.50416876468216,-3.86006227552942,-3.45092538002502
