"Algeria","Iran","Libya","Nigeria","Saudi.Arabia","UAE"
-6.97500370669845,-7.27062625159427,-8.75217785869709,-7.98425941794768,-7.6459597555283,-7.89801433906475
-5.28502865375413,-6.48715092957438,-4.64361521169703,-5.14756277643765,-5.06844794249567,-5.57657040500432
-5.65589412167678,-5.93726331534317,-6.77484903696784,-7.55536488470513,-7.40110853441359,-7.82761776328791
-5.17648025229514,-5.59017027552802,-5.53824006087894,-6.50744699359309,-4.83841140241447,-5.40622001237296
-2.6777611219097,-3.70957809955657,-3.73566420200412,-3.73487240778826,-2.95149584245796,-3.80313825464503
-4.04506840289708,-4.33793469929943,-4.65029908919239,-5.1672343929943,-3.73994025545568,-4.39544181135178
-4.49857438704582,-4.62966575956198,-3.67135172683929,-2.71678062380968,-3.96282996731054,-3.97149359695911
-5.3820149250544,-5.37933932087029,-6.41224372285961,-5.7371909838133,-4.92328318992428,-5.56870555736308
-6.69240739888446,-6.30281591568376,-7.39057426198717,-7.11233489417047,-7.69141203346984,-8.0849676239668
-5.10806081806089,-4.90236664245029,-4.66363027704357,-5.34169407303717,-5.39916258416093,-4.07364708988347
-4.91300479900794,-3.49611174566652,-4.23783983915088,-4.82794132966053,-4.7180544739571,-4.33571000577144
-5.86205119244624,-7.48056452970663,-4.94110546430305,-5.85379963623668,-7.09624226725948,-7.30677818985334
-4.88850201449996,-4.90113898851442,-4.74117552222474,-5.34774895562317,-5.63089514908687,-5.19696926620955
-5.6537051434946,-4.9885125949198,-5.13187373051919,-5.15201055625142,-6.02080227993319,-4.95368831347484
-3.19811154936665,-3.84685560751177,-3.36149051643774,-4.08265476360705,-2.9213629371166,-3.22175533169063
-7.31309918820693,-8.14435010679022,-7.94200714295029,-6.20153128440387,-7.27392495593278,-9.13944784582509
-4.19784513989182,-4.33756188182083,-4.78185955111845,-4.53780482609562,-4.79121886817648,-3.99221106566375
-4.0093745120597,-3.0255931687226,-3.20308336201889,-3.02413116828442,-4.16771883710404,-3.33218281640392
-2.91410850124085,-5.05700406856971,-4.49415597021378,-3.50221540241784,-3.86514301974233,-3.79182617098404
-2.18371793939797,-2.49848155979935,-1.97147838013795,-2.33782358942726,-4.36708836473609,-3.19701828635678
-5.22105620316857,-4.62184948871153,-4.08468349177219,-4.70154853957406,-5.28102781627205,-4.59455978445333
-7.24695451719747,-4.86852330182375,-4.21775072164579,-3.7088824375555,-5.15136906361633,-5.98059534051469
-5.37872639168379,-12.6274801997346,-5.03456479370384,-4.3706931159176,-9.10531097623582,-5.63166048529072
-4.55005704755184,-7.23748854329238,-4.315488361979,-6.63362987033396,-4.53221967826421,-4.85619914338201
-3.99455995604667,-7.61341863991749,-4.5540658502621,-5.49018783102769,-7.00866791973227,-6.30179120015538
-4.55022326528211,-5.67166161954432,-5.17293485776939,-5.19955146162101,-5.3119993153846,-7.43480582476572
-5.68433971568413,-6.40458866979537,-8.1578362704534,-10.4473028462709,-7.10837951106361,-8.08216050513944
-8.20352140289429,-5.73902529450047,-8.83674180041855,-7.95076229672932,-5.51149048820565,-8.58082499369303
-3.67341724109168,-5.66068813780332,-3.94385823132333,-3.67638391695025,-3.80203945317134,-5.14167849463197
-8.99579648927703,-7.94418872597542,-7.25196217132255,-8.87002274393555,-7.21914282113809,-7.99004511126949
-10.3010962441725,-11.6804712754044,-9.50871992606149,-10.6575748729504,-12.9744837982639,-10.2602577974414
-6.29074890325582,-7.15632728960718,-4.72259961653079,-5.00178428834428,-7.26795135058771,-6.36505032240873
-6.04260319621822,-5.54523977432325,-4.90566518277074,-3.91167970591948,-3.80026664418752,-5.66153854162287
-3.1015635804299,-4.66592049215921,-4.02431867246671,-4.28091712307289,-4.65727122211528,-4.75653741879598
-7.93372001243571,-7.25371979713166,-8.62561881750514,-7.66822421271445,-9.87326818602814,-13.222853091943
-4.9144349597997,-3.75439831766545,-5.63901334712696,-4.43190604660018,-4.91574373421336,-5.03297906114849
-4.30238171589975,-4.71461589956634,-4.6117538826702,-4.19298697158198,-5.38175502049564,-4.5161895329103
-4.13075353749626,-4.93543643184275,-4.54367629833336,-3.70527735209151,-4.38841294720589,-3.68373366993429
-7.66043727881233,-6.05229915304501,-6.74190780504765,-7.26145971515796,-6.67901092310533,-5.388908022404
-3.74307349757933,-4.95182728708822,-2.85753996027062,-4.02260929501426,-4.98406541020604,-3.96719269105698
-4.23575469658607,-4.12466505696406,-5.53263693222038,-4.08771433262019,-4.85237441903899,-5.0773321456064
-5.28650546229785,-7.65002664487107,-7.38217405231267,-8.13039538124803,-8.67549363352951,-7.48768573424924
-5.48378160108019,-11.2423114971332,-5.91807009433919,-4.5990156661585,-12.0748791513783,-6.48406040660343
-7.87166141094124,-5.60859837184739,-7.5922546814132,-6.3977918450681,-5.1782284185895,-6.99150135544306
-5.45764871430298,-5.83438102718215,-6.00714998238322,-4.25982408511611,-5.3648606345792,-5.05547882523378
-4.13310074299265,-4.65959787875936,-5.18917463974023,-4.47799115473754,-4.34593311268685,-5.25094045883803
-9.20272784068972,-10.7771257273751,-13.1992085974802,-8.58029798667998,-10.0310158766933,-7.01439540401374
-6.89151496976802,-9.4371176135041,-5.23066741374299,-7.5077041199284,-7.82717588359149,-7.32375787818976
-6.70444565450935,-3.89868107578593,-4.28735835005979,-6.51589073902919,-4.6513387674213,-4.46704773039333
-5.26282093540535,-5.55375642411776,-4.18894084506693,-5.78667328528262,-5.60001848807124,-3.87558375660906
-7.32209235289262,-9.6211269716104,-9.32702839953324,-8.52658798334915,-9.90735063938962,-7.71933528755134
-5.72398342836362,-7.27565709015622,-6.79471799035401,-6.31724656745629,-7.93489314889724,-7.47924447506292
-9.89175827196221,-11.5218902785586,-11.9693225349195,-8.30417042081849,-13.132708004334,-9.08509230149872
